Date,Continent,Customer_Name,Turnover,Profit,Profit_Margin,Total_Order,Return_Rate,Product_Name,Product_Subcategory_Name,Returned_Product,Category_Name,CM_Turnover,CM_Order,CM_Return_Rate
2023-05-13,Australia,Customer 200,3347.71,475.37,14.2,8,8.8,Pedals 9,Pedals,,Components,2811.2,6,7.5
2023-11-20,Africa,Customer 61,2527.56,266.66,10.55,1,6.77,Mountain Bikes 9,Mountain Bikes,,Bikes,2962.4,3,7.08
2023-01-19,Australia,Customer 675,4952.45,1346.57,27.19,8,8.92,Helmets 10,Helmets,,Clothing,5379.44,6,10.09
2023-05-16,Africa,Customer 161,2222.79,330.31,14.86,6,3.33,Water Bottles 10,Water Bottles,,Accessories,2135.03,5,3.11
2023-07-07,South America,Customer 2,1874.47,253.24,13.51,4,9.66,Lights 8,Lights,,Accessories,2036.74,6,10.36
2023-07-31,Asia,Customer 388,3154.43,728.67,23.1,5,9.58,Pedals 8,Pedals,,Components,3648.87,5,10.23
2023-10-10,Asia,Customer 454,759.1,130.57,17.2,6,9.41,Chains 9,Chains,,Components,615.37,6,8.56
2023-03-29,Asia,Customer 640,485.56,62.78,12.93,3,7.35,Pedals 7,Pedals,,Components,514.99,4,6.18
2023-06-15,Australia,Customer 582,2768.82,324.23,11.71,7,2.94,Touring Bikes 10,Touring Bikes,,Bikes,2406.84,6,3.42
2023-06-30,South America,Customer 840,1343.06,274.79,20.46,10,1.69,Helmets 10,Helmets,,Clothing,1130.79,8,1.53
2023-11-06,Australia,Customer 438,4172.07,1093.92,26.22,2,8.15,Brakes 9,Brakes,Brakes 9,Components,3377.83,3,8.85
2023-02-22,Asia,Customer 100,1831.35,470.11,25.67,8,0.58,Touring Bikes 1,Touring Bikes,,Bikes,1546.92,9,0.51
2023-09-30,Africa,Customer 742,3458.01,446.77,12.92,6,8.96,Gloves 10,Gloves,,Clothing,3738.5,5,8.81
2023-07-10,Europe,Customer 887,3219.03,275.55,8.56,6,4.65,Jerseys 7,Jerseys,,Clothing,2765.12,6,4.38
2023-12-21,South America,Customer 334,2097.13,532.67,25.4,8,9.82,Locks 5,Locks,,Accessories,2464.61,7,9.09
2023-06-13,Australia,Customer 783,4451.78,1108.49,24.9,6,2.81,Brakes 10,Brakes,,Components,4223.03,5,2.54
2023-01-06,North America,Customer 358,4944.7,571.11,11.55,4,6.9,Lights 1,Lights,,Accessories,5346.91,2,7.16
2023-02-13,Europe,Customer 74,4942.01,1209.31,24.47,2,4.71,Jerseys 3,Jerseys,,Clothing,4899.19,2,3.96
2023-03-14,Asia,Customer 818,1081.25,197.11,18.23,5,0.7,Touring Bikes 3,Touring Bikes,,Bikes,963.91,6,0.67
2023-12-02,North America,Customer 7,3502.95,939.14,26.81,10,2.23,Saddles 1,Saddles,,Components,3170.83,12,2.07
2023-07-05,Africa,Customer 677,1060.73,299.55,28.24,2,9.7,Locks 1,Locks,,Accessories,1196.46,1,10.35
2023-03-30,South America,Customer 316,2412.48,213.99,8.87,9,9.3,Saddles 5,Saddles,,Components,2166.22,8,9.89
2023-12-26,North America,Customer 979,4497.8,1099.71,24.45,1,4.74,Road Bikes 2,Road Bikes,,Bikes,4828.83,1,4.37
2023-08-06,North America,Customer 234,3362.08,251.15,7.47,3,3.15,Gloves 4,Gloves,,Clothing,3198.11,1,3.68
2023-11-22,Europe,Customer 321,2559.87,615.65,24.05,5,7.38,Shorts 6,Shorts,,Clothing,2186.37,7,6.09
2023-11-12,Europe,Customer 983,1146.61,193.89,16.91,7,9.34,Touring Bikes 2,Touring Bikes,,Bikes,1115.48,7,9.85
2023-01-27,Australia,Customer 41,720.94,163.08,22.62,8,1.07,Road Bikes 8,Road Bikes,,Bikes,698.96,10,1.06
2023-12-02,South America,Customer 960,2175.24,530.32,24.38,5,3.2,Locks 7,Locks,,Accessories,2347.24,3,3.5
2023-03-20,Europe,Customer 794,1279.23,312.77,24.45,5,7.06,Jerseys 7,Jerseys,,Clothing,1057.8,6,6.62
2023-05-02,North America,Customer 712,1947.0,326.71,16.78,10,7.78,Saddles 8,Saddles,Saddles 8,Components,1654.03,12,8.59
2023-06-15,South America,Customer 364,2364.66,305.99,12.94,1,5.32,Chains 8,Chains,,Components,2634.82,2,6.31
2023-10-12,North America,Customer 544,196.28,52.25,26.62,7,6.06,Helmets 7,Helmets,,Clothing,178.23,8,6.56
2023-01-24,South America,Customer 814,4572.21,1017.77,22.26,4,2.08,Touring Bikes 8,Touring Bikes,,Bikes,4180.54,2,1.71
2023-06-04,Asia,Customer 205,1250.17,345.17,27.61,5,9.67,Water Bottles 2,Water Bottles,,Accessories,1075.53,6,8.01
2023-01-21,North America,Customer 125,664.07,86.33,13.0,8,4.56,Jerseys 8,Jerseys,,Clothing,751.72,8,4.9
2023-09-09,North America,Customer 34,2003.89,502.78,25.09,4,1.48,Chains 8,Chains,,Components,2042.57,2,1.76
2023-05-20,Asia,Customer 612,4743.9,439.29,9.26,3,2.32,Saddles 7,Saddles,,Components,4830.26,4,2.55
2023-08-25,Asia,Customer 640,781.96,88.75,11.35,2,3.36,Jerseys 2,Jerseys,Jerseys 2,Clothing,840.01,0,2.8
2023-01-08,South America,Customer 45,1059.67,157.68,14.88,3,5.15,Chains 7,Chains,Chains 7,Components,1138.65,5,5.76
2023-11-18,South America,Customer 209,1395.36,159.49,11.43,1,2.2,Pedals 6,Pedals,,Components,1359.9,2,1.98
2023-04-10,Europe,Customer 347,4511.42,1303.35,28.89,6,6.66,Touring Bikes 9,Touring Bikes,,Bikes,4061.02,5,7.06
2023-04-14,North America,Customer 686,597.05,130.93,21.93,8,8.95,Mountain Bikes 9,Mountain Bikes,,Bikes,688.91,7,9.51
2023-03-12,Europe,Customer 136,4595.53,1272.5,27.69,6,8.03,Helmets 9,Helmets,,Clothing,4024.25,6,7.59
2023-10-01,Australia,Customer 771,1279.27,71.64,5.6,5,5.74,Locks 4,Locks,,Accessories,1533.81,4,5.62
2023-12-18,Asia,Customer 958,1751.33,375.13,21.42,10,5.14,Touring Bikes 6,Touring Bikes,,Bikes,2058.85,9,5.89
2023-04-08,North America,Customer 200,410.39,28.23,6.88,5,9.8,Water Bottles 4,Water Bottles,,Accessories,418.42,6,8.15
2023-04-22,North America,Customer 810,1623.63,340.31,20.96,9,2.44,Water Bottles 9,Water Bottles,,Accessories,1531.04,8,2.26
2023-03-30,North America,Customer 413,3206.47,489.63,15.27,6,6.02,Lights 10,Lights,,Accessories,3380.84,4,7.15
2023-08-11,Australia,Customer 900,1602.57,208.98,13.04,6,0.03,Saddles 8,Saddles,,Components,1312.11,7,0.03
2023-01-11,South America,Customer 956,3165.97,784.21,24.77,1,5.39,Saddles 6,Saddles,,Components,2673.88,3,5.26
2023-06-12,Africa,Customer 260,622.09,114.28,18.37,1,6.29,Road Bikes 10,Road Bikes,,Bikes,584.89,0,6.69
2023-09-24,North America,Customer 843,1534.99,248.05,16.16,9,0.2,Helmets 8,Helmets,,Clothing,1357.02,8,0.18
2023-10-15,Australia,Customer 53,2184.89,422.78,19.35,7,8.53,Pedals 6,Pedals,,Components,1772.13,7,7.27
2023-10-20,Europe,Customer 488,2673.11,151.83,5.68,6,8.67,Water Bottles 9,Water Bottles,Water Bottles 9,Accessories,3030.32,7,8.95
2023-07-17,Asia,Customer 927,1814.07,434.47,23.95,8,9.8,Touring Bikes 1,Touring Bikes,,Bikes,1731.44,9,10.97
2023-08-10,Africa,Customer 770,4630.97,974.82,21.05,8,1.0,Saddles 1,Saddles,,Components,5155.7,10,1.18
2023-05-11,Australia,Customer 945,726.3,204.89,28.21,4,4.39,Road Bikes 3,Road Bikes,,Bikes,798.28,2,4.38
2023-02-22,North America,Customer 68,1469.44,192.64,13.11,10,3.75,Water Bottles 3,Water Bottles,,Accessories,1434.25,11,4.22
2023-03-22,North America,Customer 382,2408.73,310.24,12.88,7,7.48,Water Bottles 10,Water Bottles,,Accessories,2178.21,8,6.08
2023-12-22,Australia,Customer 720,1484.58,156.92,10.57,6,0.84,Jerseys 10,Jerseys,,Clothing,1212.82,7,0.83
2023-12-27,South America,Customer 709,1825.08,149.84,8.21,2,6.06,Shorts 6,Shorts,,Clothing,1621.15,2,6.28
2023-07-19,Europe,Customer 367,1972.89,170.26,8.63,3,6.95,Mountain Bikes 7,Mountain Bikes,,Bikes,2088.86,2,6.14
2023-08-09,Africa,Customer 622,2855.51,387.21,13.56,1,0.14,Touring Bikes 10,Touring Bikes,,Bikes,3139.52,-1,0.13
2023-01-31,Australia,Customer 709,197.55,34.63,17.53,9,6.79,Water Bottles 9,Water Bottles,,Accessories,166.83,9,7.92
2023-05-31,Africa,Customer 996,4357.48,426.16,9.78,1,0.64,Jerseys 8,Jerseys,,Clothing,4946.93,1,0.54
2023-01-10,North America,Customer 562,363.52,102.26,28.13,8,6.99,Road Bikes 9,Road Bikes,,Bikes,312.02,10,6.38
2023-05-21,Africa,Customer 115,3834.16,859.62,22.42,6,3.58,Gloves 1,Gloves,,Clothing,4076.13,4,2.99
2023-10-02,South America,Customer 556,3856.94,541.51,14.04,1,6.53,Road Bikes 6,Road Bikes,,Bikes,3791.25,0,6.32
2023-05-09,Asia,Customer 714,3797.45,1031.77,27.17,7,6.37,Helmets 10,Helmets,,Clothing,4325.69,5,6.12
2023-08-05,North America,Customer 264,4542.66,282.1,6.21,1,9.69,Locks 8,Locks,,Accessories,5092.13,3,8.61
2023-10-23,Europe,Customer 381,4239.04,1027.54,24.24,10,2.67,Lights 6,Lights,,Accessories,3972.61,11,2.32
2023-11-27,Africa,Customer 251,4312.96,1024.33,23.75,6,9.8,Locks 4,Locks,,Accessories,3919.66,4,10.19
2023-11-19,Asia,Customer 983,2952.6,487.18,16.5,4,7.54,Road Bikes 10,Road Bikes,,Bikes,2960.58,2,8.87
2023-10-06,Australia,Customer 326,4254.44,219.95,5.17,4,4.83,Gloves 4,Gloves,,Clothing,4320.55,3,4.15
2023-03-05,Australia,Customer 982,1797.22,412.46,22.95,7,1.23,Road Bikes 10,Road Bikes,,Bikes,1752.63,6,1.1
2023-04-22,South America,Customer 548,2087.34,315.81,15.13,6,6.76,Mountain Bikes 8,Mountain Bikes,,Bikes,2394.99,4,6.96
2023-12-06,Asia,Customer 637,2263.08,492.67,21.77,9,1.06,Lights 8,Lights,,Accessories,2111.66,9,0.95
2023-12-01,Africa,Customer 810,1749.46,365.81,20.91,4,0.78,Helmets 7,Helmets,,Clothing,1404.71,3,0.66
2023-07-04,North America,Customer 148,839.09,64.19,7.65,4,3.95,Pedals 5,Pedals,,Components,762.59,3,3.87
2023-09-07,North America,Customer 954,1883.56,209.64,11.13,7,2.01,Chains 3,Chains,,Components,1640.99,6,2.13
2023-11-02,Africa,Customer 471,2515.4,436.17,17.34,1,1.87,Lights 7,Lights,,Accessories,2152.49,0,2.14
2023-05-07,North America,Customer 322,2647.82,167.08,6.31,4,2.78,Pedals 9,Pedals,,Components,3163.88,2,3.19
2023-12-20,Asia,Customer 48,2653.6,396.45,14.94,5,3.76,Pedals 9,Pedals,,Components,2660.12,3,3.04
2023-06-05,North America,Customer 358,4994.0,851.98,17.06,8,4.14,Lights 7,Lights,,Accessories,5764.42,8,4.34
2023-04-07,Australia,Customer 582,1911.7,167.08,8.74,10,7.54,Pedals 1,Pedals,,Components,2195.57,12,7.53
2023-12-29,North America,Customer 461,2103.42,203.61,9.68,5,1.72,Chains 1,Chains,,Components,2356.36,3,1.54
2023-04-02,North America,Customer 280,3966.3,524.74,13.23,10,0.01,Locks 1,Locks,,Accessories,3896.2,10,0.01
2023-06-18,Europe,Customer 240,2655.15,601.66,22.66,5,8.55,Road Bikes 3,Road Bikes,,Bikes,3031.79,7,8.11
2023-05-23,Europe,Customer 179,3876.15,946.94,24.43,6,7.59,Pedals 5,Pedals,,Components,3889.24,4,7.3
2023-06-17,South America,Customer 621,1518.49,217.45,14.32,3,6.06,Water Bottles 1,Water Bottles,,Accessories,1341.54,2,6.65
2023-11-04,Asia,Customer 468,3543.5,179.66,5.07,7,5.21,Road Bikes 6,Road Bikes,,Bikes,3619.43,9,6.16
2023-10-05,Australia,Customer 960,243.58,48.16,19.77,4,1.98,Brakes 6,Brakes,,Components,245.37,3,2.26
2023-07-23,Africa,Customer 905,4097.38,870.69,21.25,8,8.73,Brakes 3,Brakes,Brakes 3,Components,4010.49,9,8.46
2023-05-19,North America,Customer 676,1975.99,365.36,18.49,8,5.17,Touring Bikes 10,Touring Bikes,,Bikes,1795.18,6,6.03
2023-12-15,North America,Customer 894,1830.98,137.14,7.49,9,9.06,Locks 4,Locks,,Accessories,1470.05,8,8.59
2023-06-05,Australia,Customer 881,3234.88,825.22,25.51,1,0.46,Jerseys 8,Jerseys,,Clothing,2682.9,2,0.47
2023-07-02,Europe,Customer 567,487.76,135.16,27.71,8,0.86,Gloves 7,Gloves,,Clothing,544.01,10,0.76
2023-12-31,Africa,Customer 487,950.96,57.44,6.04,7,3.8,Water Bottles 4,Water Bottles,,Accessories,856.62,6,4.05
2023-11-05,Europe,Customer 623,3227.04,932.61,28.9,10,7.58,Locks 4,Locks,,Accessories,3380.03,11,8.34
2023-01-23,Europe,Customer 70,1658.69,166.86,10.06,8,2.34,Mountain Bikes 5,Mountain Bikes,,Bikes,1403.82,8,2.67
2023-01-01,Africa,Customer 634,2495.58,176.94,7.09,4,6.63,Road Bikes 3,Road Bikes,,Bikes,2039.77,4,7.94
2023-03-15,Australia,Customer 716,1374.63,157.12,11.43,6,2.16,Locks 2,Locks,,Accessories,1635.58,7,1.83
2023-11-03,South America,Customer 767,2179.57,141.89,6.51,4,8.99,Mountain Bikes 4,Mountain Bikes,,Bikes,2459.8,2,9.91
2023-09-23,Australia,Customer 878,908.92,98.53,10.84,7,5.04,Road Bikes 10,Road Bikes,,Bikes,1015.0,9,4.47
2023-06-28,North America,Customer 848,2290.98,661.41,28.87,2,3.69,Jerseys 7,Jerseys,,Clothing,2403.93,3,2.99
2023-05-19,Australia,Customer 377,1433.65,307.23,21.43,4,6.3,Mountain Bikes 7,Mountain Bikes,,Bikes,1149.98,3,5.38
2023-01-05,South America,Customer 281,4197.25,1253.72,29.87,10,1.65,Lights 3,Lights,,Accessories,4720.45,10,1.9
2023-09-23,Australia,Customer 828,4942.49,1285.05,26.0,4,5.74,Jerseys 6,Jerseys,,Clothing,5521.96,6,6.09
2023-04-17,Africa,Customer 216,1829.74,338.68,18.51,4,3.49,Mountain Bikes 3,Mountain Bikes,,Bikes,2132.46,5,4.12
2023-01-14,North America,Customer 621,860.67,232.38,27.0,10,4.7,Pedals 8,Pedals,,Components,972.04,10,5.46
2023-01-03,Australia,Customer 920,4252.76,324.91,7.64,7,1.36,Touring Bikes 3,Touring Bikes,,Bikes,4260.89,6,1.43
2023-03-08,Asia,Customer 484,530.21,125.55,23.68,4,3.09,Chains 5,Chains,,Components,533.35,3,3.11
2023-01-30,Asia,Customer 945,52.94,9.18,17.34,7,9.8,Gloves 7,Gloves,,Clothing,48.63,7,8.56
2023-01-01,Africa,Customer 310,4963.54,893.93,18.01,1,1.63,Locks 6,Locks,,Accessories,5025.87,-1,1.86
2023-09-10,Africa,Customer 166,1303.3,313.31,24.04,2,5.02,Locks 9,Locks,,Accessories,1075.19,2,5.27
2023-02-16,Europe,Customer 224,498.14,68.1,13.67,8,1.01,Chains 2,Chains,,Components,402.3,10,1.06
2023-11-29,Europe,Customer 577,1560.03,143.99,9.23,7,8.2,Gloves 10,Gloves,,Clothing,1344.36,9,8.81
2023-10-17,Australia,Customer 821,2249.53,321.91,14.31,5,1.93,Shorts 7,Shorts,,Clothing,2157.67,6,1.64
2023-08-03,Europe,Customer 861,306.06,82.12,26.83,10,4.23,Mountain Bikes 3,Mountain Bikes,,Bikes,247.56,9,4.91
2023-11-11,Europe,Customer 519,282.15,31.18,11.05,10,2.1,Lights 1,Lights,,Accessories,290.51,10,2.06
2023-10-23,Africa,Customer 149,1434.45,250.89,17.49,2,1.8,Helmets 2,Helmets,,Clothing,1475.96,3,1.45
2023-05-06,Africa,Customer 806,4169.85,659.25,15.81,4,5.98,Helmets 5,Helmets,,Clothing,4495.84,6,6.03
2023-05-24,Europe,Customer 373,985.42,248.33,25.2,3,4.39,Touring Bikes 9,Touring Bikes,,Bikes,1092.86,4,4.84
2023-12-08,Asia,Customer 897,3624.28,765.81,21.13,7,7.41,Locks 1,Locks,,Accessories,3403.6,7,8.88
2023-03-10,Africa,Customer 308,3808.58,342.01,8.98,5,1.97,Jerseys 3,Jerseys,,Clothing,3460.47,6,2.35
2023-01-23,Asia,Customer 768,4223.68,807.99,19.13,10,4.99,Locks 1,Locks,,Accessories,4459.3,11,5.83
2023-06-29,Australia,Customer 325,177.56,24.25,13.66,3,6.22,Jerseys 5,Jerseys,,Clothing,201.3,4,6.02
2023-06-20,Australia,Customer 752,4463.19,1306.82,29.28,9,7.46,Chains 9,Chains,Chains 9,Components,4376.6,7,8.04
2023-11-17,Africa,Customer 179,3739.67,974.93,26.07,4,6.42,Locks 10,Locks,,Accessories,4063.98,4,5.92
2023-09-22,Africa,Customer 431,1698.52,291.47,17.16,6,8.58,Locks 9,Locks,,Accessories,1965.0,8,7.89
2023-10-22,North America,Customer 59,4215.72,393.33,9.33,1,7.39,Road Bikes 5,Road Bikes,,Bikes,5017.2,-1,7.28
2023-05-02,Africa,Customer 864,1569.89,319.16,20.33,10,9.41,Jerseys 3,Jerseys,,Clothing,1684.52,9,9.19
2023-03-24,South America,Customer 835,915.96,166.7,18.2,1,4.61,Jerseys 2,Jerseys,,Clothing,740.62,-1,4.63
2023-11-10,South America,Customer 207,668.39,65.57,9.81,4,9.76,Mountain Bikes 9,Mountain Bikes,,Bikes,583.01,3,8.8
2023-01-16,Africa,Customer 369,4395.66,1309.47,29.79,7,6.38,Touring Bikes 8,Touring Bikes,,Bikes,4385.29,8,5.51
2024-01-01,South America,Customer 310,661.34,115.6,17.48,6,9.83,Pedals 9,Pedals,,Components,718.87,5,9.57
2023-04-16,Australia,Customer 274,1977.36,366.4,18.53,9,5.63,Saddles 1,Saddles,,Components,1788.97,8,6.29
2023-02-18,Africa,Customer 885,1788.24,114.09,6.38,5,7.1,Pedals 7,Pedals,,Components,1705.72,4,7.98
2023-07-18,Australia,Customer 555,4790.78,1133.5,23.66,10,2.57,Touring Bikes 2,Touring Bikes,,Bikes,3844.83,8,2.51
2023-06-03,South America,Customer 221,2694.24,704.81,26.16,6,9.71,Water Bottles 9,Water Bottles,,Accessories,2917.63,5,11.37
2023-06-11,South America,Customer 651,3331.63,219.55,6.59,8,8.66,Road Bikes 5,Road Bikes,,Bikes,3225.72,9,9.28
2023-01-17,South America,Customer 491,2617.51,676.36,25.84,5,6.15,Lights 2,Lights,,Accessories,2670.28,4,6.63
2023-03-07,Asia,Customer 175,2726.83,503.1,18.45,1,5.98,Saddles 3,Saddles,,Components,2378.25,-1,5.35
2023-02-13,Australia,Customer 805,3712.79,917.8,24.72,9,6.03,Water Bottles 10,Water Bottles,,Accessories,4267.96,7,6.5
2023-03-05,South America,Customer 808,1373.43,294.19,21.42,6,5.34,Saddles 8,Saddles,,Components,1189.0,7,5.79
2023-10-30,Asia,Customer 683,2953.42,658.91,22.31,4,8.75,Mountain Bikes 9,Mountain Bikes,Mountain Bikes 9,Bikes,3522.02,4,10.4
2023-05-10,Australia,Customer 366,4605.86,718.97,15.61,7,1.82,Gloves 4,Gloves,,Clothing,3807.14,7,1.87
2023-08-05,Africa,Customer 244,3727.15,506.89,13.6,4,0.74,Water Bottles 1,Water Bottles,,Accessories,3420.51,5,0.79
2023-01-28,South America,Customer 350,2102.15,124.03,5.9,3,2.13,Water Bottles 7,Water Bottles,,Accessories,1964.97,4,1.84
2023-01-29,Asia,Customer 407,1207.45,182.2,15.09,4,7.55,Water Bottles 3,Water Bottles,,Accessories,1430.63,6,8.54
2023-10-22,Australia,Customer 166,608.65,121.18,19.91,4,2.22,Brakes 6,Brakes,,Components,691.67,6,2.5
2023-05-16,Europe,Customer 857,3042.17,386.96,12.72,6,8.18,Locks 7,Locks,,Accessories,3051.05,8,9.81
2023-02-10,Asia,Customer 119,1250.4,103.66,8.29,8,5.69,Saddles 4,Saddles,,Components,1343.44,6,5.97
2023-03-06,South America,Customer 55,2815.16,441.14,15.67,1,5.76,Road Bikes 8,Road Bikes,,Bikes,3215.14,0,5.79
2023-12-01,Asia,Customer 323,2097.75,374.66,17.86,4,4.46,Water Bottles 3,Water Bottles,,Accessories,2490.36,5,4.09
2023-06-19,Africa,Customer 687,4295.92,1254.41,29.2,8,2.02,Road Bikes 2,Road Bikes,,Bikes,4760.55,8,1.66
2023-07-25,Europe,Customer 276,4161.09,774.79,18.62,9,4.44,Touring Bikes 8,Touring Bikes,,Bikes,4798.23,9,3.63
2023-08-01,Australia,Customer 970,2807.29,261.64,9.32,3,9.36,Water Bottles 4,Water Bottles,,Accessories,2481.74,4,11.06
2023-11-25,Australia,Customer 564,1857.64,316.36,17.03,2,8.4,Jerseys 4,Jerseys,,Clothing,2148.79,0,7.94
2023-11-22,Africa,Customer 287,4515.38,486.31,10.77,3,4.22,Saddles 4,Saddles,,Components,4712.9,4,4.12
2023-04-27,Africa,Customer 305,205.64,44.46,21.62,3,4.71,Water Bottles 1,Water Bottles,,Accessories,174.21,1,5.24
2023-06-19,South America,Customer 983,2551.97,338.9,13.28,8,2.79,Mountain Bikes 5,Mountain Bikes,,Bikes,2097.54,10,2.76
2023-05-24,Asia,Customer 102,3577.11,733.67,20.51,7,6.94,Locks 7,Locks,,Accessories,2982.13,5,7.14
2023-06-12,North America,Customer 411,1415.36,225.75,15.95,6,8.39,Mountain Bikes 5,Mountain Bikes,,Bikes,1143.07,8,8.42
2023-04-28,Africa,Customer 299,1010.11,137.88,13.65,3,4.04,Pedals 10,Pedals,,Components,1063.68,3,3.6
2023-01-03,Asia,Customer 192,3185.88,271.44,8.52,6,9.7,Chains 2,Chains,,Components,2919.43,4,8.72
2023-12-24,South America,Customer 150,1048.13,271.78,25.93,10,8.18,Lights 8,Lights,,Accessories,1100.53,10,7.24
2023-09-11,South America,Customer 350,4231.34,1164.04,27.51,10,3.27,Helmets 3,Helmets,,Clothing,4816.77,9,3.52
2023-10-30,North America,Customer 998,4336.42,374.23,8.63,2,4.59,Mountain Bikes 1,Mountain Bikes,,Bikes,5005.28,4,3.98
2023-11-05,Australia,Customer 703,3645.04,1017.33,27.91,3,8.25,Helmets 4,Helmets,,Clothing,3321.27,3,7.69
2023-07-19,Europe,Customer 605,689.4,37.64,5.46,1,3.05,Locks 6,Locks,,Accessories,619.66,1,3.65
2023-10-19,Asia,Customer 441,3631.75,863.99,23.79,5,1.41,Water Bottles 4,Water Bottles,,Accessories,3217.43,3,1.52
2023-03-17,Africa,Customer 381,3454.71,198.99,5.76,4,2.7,Road Bikes 3,Road Bikes,,Bikes,3058.21,3,2.73
2023-01-17,Asia,Customer 575,2312.33,477.5,20.65,10,7.89,Helmets 2,Helmets,,Clothing,2035.06,8,7.3
2023-10-22,Australia,Customer 244,2819.99,295.82,10.49,1,3.86,Locks 1,Locks,,Accessories,2627.1,-1,3.3
2023-01-17,Asia,Customer 979,2386.39,429.31,17.99,8,4.81,Locks 9,Locks,,Accessories,2243.5,7,5.05
